iter	Passed	Remaining
0	1	1082
1	1	944
2	2	911
3	3	967
4	4	972
5	5	937
6	6	923
7	7	908
8	8	890
9	8	878
10	9	869
11	10	861
12	11	853
13	12	850
14	12	847
15	13	857
16	14	852
17	15	847
18	16	841
19	17	839
20	17	836
21	19	848
22	20	853
23	20	850
24	21	847
25	22	841
26	23	837
27	24	834
28	24	833
29	25	832
30	26	832
31	27	828
32	28	826
33	28	823
34	29	820
35	30	817
36	31	814
37	32	813
38	32	811
39	34	817
40	35	820
41	35	818
42	36	818
43	37	816
44	38	814
45	39	814
46	40	813
47	40	811
48	41	810
49	42	808
50	43	806
51	44	805
52	45	804
53	45	802
54	46	800
55	47	797
56	48	797
57	49	803
58	50	802
59	51	801
60	51	799
61	52	798
62	53	799
63	54	798
64	55	797
65	56	796
66	57	793
67	57	790
68	58	787
69	59	784
70	59	781
71	60	778
72	61	775
73	61	772
74	62	769
75	63	768
76	64	769
77	64	768
78	65	765
79	66	762
80	67	760
81	67	759
82	68	755
83	69	753
84	69	752
85	70	750
86	71	748
87	72	746
88	72	744
89	73	742
90	74	741
91	74	739
92	75	737
93	76	735
94	76	733
95	77	731
96	78	732
97	79	731
98	80	729
99	80	727
100	81	726
101	82	725
102	83	724
103	83	722
104	84	720
105	85	719
106	85	717
107	86	715
108	87	714
109	88	712
110	88	710
111	89	709
112	90	707
113	90	705
114	91	703
115	92	702
116	92	699
117	93	701
118	94	700
119	95	698
120	95	697
121	97	700
122	98	700
123	98	698
124	99	697
125	100	695
126	100	693
127	101	691
128	102	690
129	102	688
130	103	687
131	104	685
132	105	685
133	105	683
134	106	682
135	107	680
136	108	681
137	109	682
138	109	681
139	110	680
140	111	678
141	111	676
142	112	675
143	113	674
144	114	672
145	114	671
146	115	669
147	116	668
148	116	667
149	117	666
150	118	664
151	118	663
152	119	661
153	120	660
154	120	658
155	121	657
156	122	656
157	123	657
158	124	657
159	125	656
160	125	654
161	126	653
162	126	652
163	127	650
164	128	649
165	129	648
166	129	647
167	130	646
168	131	645
169	131	644
170	132	643
171	133	641
172	134	640
173	134	639
174	135	638
175	136	637
176	136	636
177	137	635
178	138	636
179	139	635
180	140	634
181	140	633
182	141	632
183	142	631
184	142	629
185	143	628
186	144	627
187	144	626
188	145	625
189	146	624
190	147	622
191	147	621
192	148	620
193	149	619
194	149	618
195	150	617
196	151	616
197	151	615
198	153	616
199	153	615
200	154	615
201	155	613
202	156	612
203	156	611
204	157	610
205	158	609
206	158	608
207	159	607
208	160	607
209	161	605
210	161	604
211	162	603
212	163	602
213	163	601
214	164	600
215	165	599
216	165	598
217	166	597
218	167	597
219	168	597
220	169	596
221	169	595
222	170	594
223	171	593
224	171	592
225	172	591
226	173	590
227	173	588
228	174	587
229	175	586
230	175	585
231	176	584
232	177	583
233	177	582
234	178	581
235	179	580
236	179	579
237	180	578
238	181	577
239	182	577
240	183	577
241	183	576
242	184	575
243	185	574
244	185	573
245	186	572
246	187	570
247	187	569
248	188	568
249	189	567
250	189	566
251	190	565
252	191	564
253	191	563
254	192	562
255	193	561
256	194	561
257	194	560
258	195	559
259	196	559
260	197	559
261	198	559
262	199	559
263	200	558
264	200	557
265	201	556
266	202	555
267	203	554
268	203	553
269	204	552
270	205	551
271	205	551
272	206	550
273	207	549
274	207	548
275	209	548
276	209	547
277	210	546
278	211	545
279	212	545
280	213	545
281	214	545
282	214	544
283	215	543
284	216	542
285	217	541
286	217	540
287	218	539
288	219	538
289	219	537
290	220	537
291	221	536
292	221	535
293	222	534
294	223	533
295	223	532
296	224	531
297	225	530
298	225	529
299	226	529
300	227	529
301	228	529
302	229	528
303	230	527
304	231	526
305	231	525
306	232	524
307	233	523
308	233	522
309	234	521
310	235	521
311	235	520
312	236	519
313	237	518
314	238	517
315	238	516
316	239	515
317	240	514
318	240	513
319	241	513
320	242	513
321	243	512
322	244	511
323	244	510
324	245	510
325	246	509
326	246	508
327	247	507
328	248	506
329	248	505
330	249	504
331	250	503
332	250	502
333	251	502
334	252	501
335	253	500
336	253	499
337	254	498
338	255	497
339	256	497
340	257	497
341	258	496
342	259	496
343	259	495
344	260	494
345	261	493
346	262	493
347	262	492
348	263	491
349	264	490
350	264	489
351	265	489
352	266	488
353	267	487
354	267	486
355	268	485
356	269	484
357	269	483
358	270	482
359	271	482
360	272	482
361	273	482
362	274	481
363	275	480
364	275	479
365	276	478
366	277	478
367	278	477
368	279	478
369	280	478
370	281	477
371	282	476
372	282	475
373	283	474
374	284	473
375	285	473
376	286	473
377	287	473
378	288	472
379	289	472
380	290	471
381	290	470
382	291	469
383	292	468
384	292	468
385	293	467
386	294	466
387	295	465
388	296	465
389	297	464
390	297	464
391	298	463
392	299	462
393	300	461
394	301	462
395	302	461
396	303	460
397	304	460
398	304	459
399	305	458
400	306	457
401	307	456
402	307	455
403	308	454
404	309	454
405	309	453
406	310	452
407	311	451
408	311	450
409	312	449
410	313	448
411	313	447
412	314	447
413	315	446
414	316	446
415	317	445
416	318	445
417	318	444
418	319	443
419	320	442
420	321	442
421	322	441
422	323	440
423	323	440
424	324	439
425	325	438
426	326	437
427	326	436
428	327	435
429	328	434
430	328	434
431	329	433
432	330	432
433	331	432
434	332	431
435	333	430
436	333	430
437	334	429
438	335	428
439	336	428
440	337	427
441	338	426
442	338	425
443	339	425
444	340	424
445	340	423
446	341	422
447	342	421
448	343	420
449	343	420
450	344	419
451	344	418
452	346	418
453	347	417
454	348	417
455	349	416
456	350	415
457	350	415
458	351	414
459	352	413
460	352	412
461	353	411
462	353	410
463	354	409
464	355	408
465	356	408
466	356	407
467	357	406
468	358	405
469	358	404
470	359	403
471	360	403
472	361	403
473	362	402
474	363	402
475	364	401
476	365	400
477	366	400
478	367	399
479	367	398
480	368	397
481	369	396
482	369	395
483	370	395
484	371	394
485	372	393
486	372	392
487	373	391
488	374	391
489	374	390
490	376	390
491	377	389
492	378	388
493	378	388
494	379	387
495	380	386
496	380	385
497	381	384
498	382	383
499	382	382
500	383	381
501	384	381
502	384	380
503	385	379
504	386	378
505	386	377
506	387	376
507	388	375
508	388	375
509	389	374
510	392	375
511	392	374
512	393	373
513	394	372
514	394	371
515	395	371
516	396	370
517	396	369
518	397	368
519	398	367
520	399	366
521	399	366
522	400	365
523	401	364
524	401	363
525	402	362
526	403	361
527	403	360
528	404	360
529	406	360
530	407	359
531	407	358
532	408	357
533	409	357
534	409	356
535	410	355
536	411	354
537	411	353
538	412	352
539	413	352
540	414	351
541	414	350
542	415	349
543	416	348
544	416	347
545	417	347
546	418	346
547	419	345
548	420	345
549	421	344
550	422	344
551	423	343
552	423	342
553	424	341
554	424	340
555	425	339
556	426	339
557	427	338
558	427	337
559	428	336
560	429	335
561	429	335
562	430	334
563	431	333
564	431	332
565	432	331
566	433	330
567	433	330
568	435	329
569	436	329
570	436	328
571	437	327
572	438	326
573	438	325
574	439	324
575	440	324
576	440	323
577	441	322
578	442	321
579	442	320
580	443	319
581	444	319
582	444	318
583	445	317
584	446	316
585	447	315
586	447	315
587	448	314
588	449	313
589	450	313
590	451	312
591	452	311
592	453	310
593	453	310
594	454	309
595	455	308
596	455	307
597	456	306
598	457	305
599	457	305
600	458	304
601	459	303
602	459	302
603	460	301
604	461	301
605	461	300
606	462	299
607	463	298
608	463	297
609	465	297
610	466	296
611	466	295
612	467	295
613	468	294
614	468	293
615	469	292
616	470	292
617	471	291
618	471	290
619	472	289
620	473	288
621	473	288
622	474	287
623	475	286
624	475	285
625	476	284
626	477	284
627	478	283
628	480	283
629	481	282
630	482	282
631	483	281
632	484	280
633	485	280
634	486	279
635	487	278
636	488	278
637	488	277
638	489	276
639	490	275
640	490	274
641	491	274
642	492	273
643	492	272
644	494	272
645	495	271
646	496	270
647	497	270
648	498	269
649	499	268
650	499	268
651	500	267
652	501	266
653	502	265
654	503	265
655	504	264
656	504	263
657	505	262
658	506	261
659	506	261
660	507	260
661	511	260
662	511	260
663	512	259
664	513	258
665	513	257
666	514	256
667	515	256
668	515	255
669	516	254
670	517	253
671	517	252
672	518	251
673	519	251
674	519	250
675	520	249
676	521	248
677	522	247
678	522	247
679	524	246
680	525	246
681	526	245
682	526	244
683	527	243
684	528	243
685	529	242
686	530	241
687	530	240
688	531	239
689	532	239
690	532	238
691	533	237
692	534	236
693	536	236
694	537	235
695	538	235
696	538	234
697	539	233
698	540	232
699	541	231
700	541	231
701	542	230
702	543	229
703	543	228
704	544	227
705	545	227
706	545	226
707	546	225
708	547	224
709	547	223
710	549	223
711	550	222
712	551	221
713	552	221
714	553	220
715	554	219
716	554	219
717	556	218
718	556	217
719	557	216
720	558	216
721	558	215
722	559	214
723	560	213
724	560	212
725	561	211
726	562	211
727	563	210
728	580	215
729	582	215
730	583	214
731	584	214
732	586	213
733	587	212
734	588	212
735	589	211
736	590	210
737	591	210
738	592	209
739	593	208
740	594	207
741	598	207
742	599	207
743	600	206
744	600	205
745	601	204
746	602	204
747	603	203
748	604	202
749	604	201
750	605	200
751	606	199
752	607	199
753	607	198
754	608	197
755	609	196
756	611	196
757	612	195
758	613	194
759	613	193
760	614	193
761	615	192
762	616	191
763	617	190
764	618	189
765	619	189
766	619	188
767	620	187
768	621	186
769	622	185
770	622	185
771	623	184
772	624	183
773	626	182
774	627	182
775	627	181
776	628	180
777	629	179
778	629	178
779	630	177
780	631	177
781	632	176
782	633	175
783	634	174
784	634	173
785	635	173
786	636	172
787	636	171
788	637	170
789	638	169
790	638	168
791	640	168
792	641	167
793	642	166
794	643	165
795	643	165
796	644	164
797	645	163
798	646	162
799	647	161
800	648	161
801	649	160
802	649	159
803	650	158
804	651	157
805	652	156
806	652	156
807	653	155
808	654	154
809	656	153
810	656	153
811	657	152
812	658	151
813	658	150
814	659	149
815	660	148
816	661	148
817	662	147
818	663	146
819	664	145
820	665	145
821	665	144
822	666	143
823	667	142
824	667	141
825	668	140
826	669	140
827	671	139
828	671	138
829	672	137
830	673	136
831	673	136
832	674	135
833	675	134
834	676	133
835	677	132
836	677	132
837	678	131
838	679	130
839	679	129
840	680	128
841	681	127
842	681	127
843	682	126
844	683	125
845	684	124
846	685	123
847	686	123
848	687	122
849	687	121
850	688	120
851	689	119
852	690	118
853	690	118
854	691	117
855	692	116
856	693	115
857	693	114
858	694	114
859	695	113
860	695	112
861	696	111
862	697	110
863	697	109
864	698	109
865	700	108
866	700	107
867	701	106
868	702	105
869	703	105
870	703	104
871	704	103
872	705	102
873	705	101
874	706	100
875	707	100
876	707	99
877	708	98
878	709	97
879	709	96
880	710	95
881	711	95
882	711	94
883	712	93
884	713	92
885	714	91
886	715	91
887	716	90
888	716	89
889	717	88
890	718	87
891	719	87
892	719	86
893	720	85
894	721	84
895	721	83
896	722	82
897	723	82
898	723	81
899	724	80
900	725	79
901	725	78
902	726	78
903	727	77
904	727	76
905	728	75
906	729	74
907	730	74
908	731	73
909	731	72
910	732	71
911	733	70
912	733	69
913	734	69
914	735	68
915	735	67
916	736	66
917	737	65
918	737	65
919	738	64
920	739	63
921	739	62
922	740	61
923	741	60
924	741	60
925	742	59
926	743	58
927	744	57
928	745	56
929	745	56
930	746	55
931	747	54
932	748	53
933	748	52
934	749	52
935	750	51
936	750	50
937	751	49
938	752	48
939	752	48
940	753	47
941	754	46
942	754	45
943	755	44
944	756	44
945	756	43
946	757	42
947	758	41
948	759	40
949	760	40
950	760	39
951	761	38
952	762	37
953	762	36
954	763	35
955	764	35
956	764	34
957	765	33
958	766	32
959	767	31
960	767	31
961	768	30
962	769	29
963	769	28
964	770	27
965	770	27
966	771	26
967	772	25
968	772	24
969	774	23
970	775	23
971	776	22
972	777	21
973	778	20
974	778	19
975	779	19
976	780	18
977	780	17
978	781	16
979	782	15
980	782	15
981	783	14
982	784	13
983	785	12
984	785	11
985	786	11
986	787	10
987	788	9
988	789	8
989	790	7
990	790	7
991	791	6
992	792	5
993	792	4
994	793	3
995	794	3
996	794	2
997	795	1
998	796	0
999	796	0
